update_date,franchise,title,experience,season,update_title,date_source_type,source_page_title,source_url,source_file,retrieved_at
2025-07-10,Call of Duty,,Warzone,Season 04 Reloaded,THURSDAY JULY 10,heading,Call of Duty: Warzone Patch Season 04 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2025/07/call-of-duty-bo6-warzone-season-04-reloaded-patch-notes,call-of-duty-bo6-warzone-season-04-reloaded-patch-notes-ba4899fd43.html,2026-09-18T00:27:43.313491+00:00
2025-07-16,Call of Duty,,Warzone,Season 04 Reloaded,WEDNESDAY JULY 16,heading,Call of Duty: Warzone Patch Season 04 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2025/07/call-of-duty-bo6-warzone-season-04-reloaded-patch-notes,call-of-duty-bo6-warzone-season-04-reloaded-patch-notes-ba4899fd43.html,2026-09-18T00:27:43.313491+00:00
2025-08-06,Call of Duty,,Warzone,Season 05,WEDNESDAY AUGUST 6,heading,Call of Duty: Warzone Patch Season 05 Patch Notes,https://www.callofduty.com/patchnotes/2025/08/call-of-duty-bo6-warzone-season-05-patch-notes,call-of-duty-bo6-warzone-season-05-patch-notes-e08bd712d2.html,2026-09-18T00:27:45.833886+00:00
2025-08-13,Call of Duty,Black Ops 6,,Season 05,August 13,anchor,Call of Duty: Black Ops 6 Season 05 Patch Notes,https://www.callofduty.com/patchnotes/2025/08/call-of-duty-black-ops-6-season-05-patch-notes,call-of-duty-black-ops-6-season-05-patch-notes-e05ae40021.html,2026-09-18T00:27:44.667092+00:00
2025-08-13,Call of Duty,,Warzone,Season 05,WEDNESDAY AUGUST 13,heading,Call of Duty: Warzone Patch Season 05 Patch Notes,https://www.callofduty.com/patchnotes/2025/08/call-of-duty-bo6-warzone-season-05-patch-notes,call-of-duty-bo6-warzone-season-05-patch-notes-e08bd712d2.html,2026-09-18T00:27:45.833886+00:00
2025-09-03,Call of Duty,Black Ops 6,,Season 05,"September 03, 2025",dateline,Call of Duty: Black Ops 6 Season 05 Patch Notes,https://www.callofduty.com/patchnotes/2025/08/call-of-duty-black-ops-6-season-05-patch-notes,call-of-duty-black-ops-6-season-05-patch-notes-e05ae40021.html,2026-09-18T00:27:44.667092+00:00
2025-09-03,Call of Duty,,Warzone,Season 05,WEDNESDAY SEPTEMBER 3,heading;dateline,Call of Duty: Warzone Patch Season 05 Patch Notes,https://www.callofduty.com/patchnotes/2025/08/call-of-duty-bo6-warzone-season-05-patch-notes,call-of-duty-bo6-warzone-season-05-patch-notes-e08bd712d2.html,2026-09-18T00:27:45.833886+00:00
2025-09-08,Call of Duty,,Warzone,Season 05,MONDAY SEPTEMBER 8,heading,Call of Duty: Warzone Patch Season 05 Patch Notes,https://www.callofduty.com/patchnotes/2025/08/call-of-duty-bo6-warzone-season-05-patch-notes,call-of-duty-bo6-warzone-season-05-patch-notes-e08bd712d2.html,2026-09-18T00:27:45.833886+00:00
2025-09-16,Call of Duty,,Warzone,Season 05,TUESDAY SEPTEMBER 16,heading,Call of Duty: Warzone Patch Season 05 Patch Notes,https://www.callofduty.com/patchnotes/2025/08/call-of-duty-bo6-warzone-season-05-patch-notes,call-of-duty-bo6-warzone-season-05-patch-notes-e08bd712d2.html,2026-09-18T00:27:45.833886+00:00
2025-10-02,Call of Duty,Black Ops 7,,Beta,October 2,anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
